match_id,date,team,opponent,corners_for,corners_against,cards,fouls,shots,sot_for,sot_against,referee,is_home
1528280,2026-03-31 18:30:00,Algeria,Uruguay,5,6,4,12,6,0,1,L. Pairetto,1
1528280,2026-03-31 18:30:00,Uruguay,Algeria,6,5,3,16,11,1,0,L. Pairetto,0
1502470,2026-03-27 19:45:00,England,Uruguay,7,0,1,13,13,5,1,"Sven Jablonski, Germany",1
1502470,2026-03-27 19:45:00,Uruguay,England,0,7,2,9,9,1,5,"Sven Jablonski, Germany",0
1457379,2025-11-19 00:00:00,United States,Uruguay,7,5,2,0,10,7,2,"Julio Cesar de Jesus Luna Guzman, Guatemala",1
1457379,2025-11-19 00:00:00,Uruguay,United States,5,7,3,0,9,2,7,"Julio Cesar de Jesus Luna Guzman, Guatemala",0
1469292,2025-11-16 01:00:00,Mexico,Uruguay,0,0,3,10,10,3,2,,1
1469292,2025-11-16 01:00:00,Uruguay,Mexico,0,0,6,3,3,2,3,,0
1466848,2025-10-13 12:45:00,Uzbekistan,Uruguay,2,6,0,7,7,2,4,,1
1466848,2025-10-13 12:45:00,Uruguay,Uzbekistan,6,2,0,13,13,4,2,,0
1466665,2025-10-10 12:45:00,Uruguay,Dominican Republic,3,2,1,17,11,1,4,,1
1466665,2025-10-10 12:45:00,Dominican Republic,Uruguay,2,3,2,10,7,4,1,,0
1100321,2025-09-09 23:30:00,Chile,Uruguay,8,3,1,8,16,3,3,"Anderson Daronco, Brazil",1
1100321,2025-09-09 23:30:00,Uruguay,Chile,3,8,1,14,6,3,3,"Anderson Daronco, Brazil",0
1100314,2025-09-04 23:30:00,Uruguay,Peru,6,1,2,8,24,7,3,"Facundo Raul Tello Figueroa, Argentina",1
1100314,2025-09-04 23:30:00,Peru,Uruguay,1,6,3,14,11,3,7,"Facundo Raul Tello Figueroa, Argentina",0
1100309,2025-06-10 23:00:00,Uruguay,Venezuela,10,1,2,15,10,5,1,"Raphael Claus, Brazil",1
1100309,2025-06-10 23:00:00,Venezuela,Uruguay,1,10,3,10,10,1,5,"Raphael Claus, Brazil",0
1100304,2025-06-05 23:00:00,Paraguay,Uruguay,5,7,2,18,12,5,1,D. Herrera,1
1100304,2025-06-05 23:00:00,Uruguay,Paraguay,7,5,0,9,5,1,5,D. Herrera,0
1489386,2026-06-18 02:00:00,Uzbekistan,Colombia,3,4,1,14,8,2,4,"Anthony Taylor, England",1
1489386,2026-06-18 02:00:00,Colombia,Uzbekistan,4,3,1,11,15,4,2,"Anthony Taylor, England",0
1528288,2026-06-07 23:00:00,Colombia,Jordan,1,1,0,4,4,3,0,J. Valle,1
1528288,2026-06-07 23:00:00,Jordan,Colombia,1,1,0,6,4,0,3,J. Valle,0
1537648,2026-06-01 23:00:00,Colombia,Costa Rica,4,2,1,5,8,4,3,"Guillermo Enrique Guerrero Alcivar, Ecuador",1
1537648,2026-06-01 23:00:00,Costa Rica,Colombia,2,4,1,7,6,3,4,"Guillermo Enrique Guerrero Alcivar, Ecuador",0
1485025,2025-11-19 01:30:00,Colombia,Australia,3,0,2,16,16,8,1,"Tori Penso, USA",1
1485025,2025-11-19 01:30:00,Australia,Colombia,0,3,2,2,2,1,8,"Tori Penso, USA",0
1469291,2025-11-16 00:30:00,Colombia,New Zealand,7,7,0,22,22,8,3,,1
1469291,2025-11-16 00:30:00,New Zealand,Colombia,7,7,1,10,10,3,8,,0
1396845,2025-10-15 00:30:00,Canada,Colombia,2,2,3,4,4,1,1,"Guido Gonzales Jr, USA",1
1396845,2025-10-15 00:30:00,Colombia,Canada,2,2,0,6,6,1,1,"Guido Gonzales Jr, USA",0
1400027,2025-10-12 01:00:00,Mexico,Colombia,2,2,3,13,10,2,4,,1
1400027,2025-10-12 01:00:00,Colombia,Mexico,2,2,1,17,7,4,2,,0
1100319,2025-09-09 23:30:00,Venezuela,Colombia,3,2,0,14,11,8,9,"Wilton Pereira Sampaio, Brazil",1
1100319,2025-09-09 23:30:00,Colombia,Venezuela,2,3,0,16,13,9,8,"Wilton Pereira Sampaio, Brazil",0
1100313,2025-09-04 23:30:00,Colombia,Bolivia,4,2,1,10,12,8,3,"Dario Herrera, Argentina",1
1100313,2025-09-04 23:30:00,Bolivia,Colombia,2,4,1,7,8,3,8,"Dario Herrera, Argentina",0
1100310,2025-06-11 00:00:00,Argentina,Colombia,4,6,3,16,10,3,5,"Juan Gabriel Benitez, Paraguay",1
1100310,2025-06-11 00:00:00,Colombia,Argentina,6,4,3,12,11,5,3,"Juan Gabriel Benitez, Paraguay",0
1489397,2026-06-21 16:00:00,Spain,Saudi Arabia,6,1,0,10,22,8,1,"Raphael Claus, Brazil",1
1489397,2026-06-21 16:00:00,Saudi Arabia,Spain,1,6,2,2,3,1,8,"Raphael Claus, Brazil",0
1489380,2026-06-15 16:00:00,Spain,Cape Verde,11,1,1,10,27,7,1,"Adham Mohammad, Jordan",1
1489380,2026-06-15 16:00:00,Cape Verde,Spain,1,11,1,1,6,1,7,"Adham Mohammad, Jordan",0
1544359,2026-06-04 19:00:00,Spain,Iraq,5,3,2,8,13,4,2,"Florian Badstubner, Germany",1
